,id,name,rating,address,city,lat,long
136,w9iBaBodqmAQzdX_T3JNVw,societea teahouse & eatery,4.1,446 san mateo ave,San Bruno,37.622841,-122.410957
137,_H0mM4NR1lhEiUQpHdP2GA,quickly,3.6,8 e washington st,Petaluma,38.2358268680295,-122.639862857759
138,yrwUBfAFBuLZ-h_5dOVhuw,raretea,4.3,2550 w el camino ave,Sacramento,38.61309,-121.51838
139,Cm619_WeZvigYZuMK8modg,boba studio,4.5,1389 n main st,Walnut Creek,37.89900243035402,-122.0611506
140,WitmK0ISoVDlxsyNUjxhZg,tea o’clock,4.5,1384 e 14th st,San Leandro,37.724517,-122.154704
141,zFNppF_WlcuEuWSJBtmz3Q,devil & angel desserts,3.5,910 admiral callaghan ln,Vallejo,38.1321831,-122.2217576
142,_Wzv-WD54fxYKIsmERWA_Q,grapeholic,4.2,102 s el camino real,Millbrae,37.598061,-122.386405
143,40p191VsNQ8uG0uPiJIlSg,tea plus tea bar,4.1,4482 mission st,San Francisco,37.72615,-122.43405
144,e5Q7bIyOHzgu0rSxAIsbwQ,the rolling house,5.0,3340 san pablo dam rd,San Pablo,37.96151,-122.32567
145,3f6WZbK0dWGJuGhrYsKi4g,t% coffee + tea - davis,4.1,516 2nd st,Davis,38.54304791360931,-121.7413261
146,hARCiYDKDcdkUd-lR7ZCaA,tea so,4.3,20669 santa maria ave,Castro Valley,37.6961077,-122.078579
147,anE7_gCK_tdSPNnWVCKp2g,sharetea,3.9,2441 san ramon valley blvd,San Ramon,37.7747421264648,-121.977684020996
148,vDX8cgSok8godrieuBKBYA,teazentea,4.1,1135 2nd st,Brentwood,37.9369147127279,-121.698112115264
149,t6ecFNNrGJ0eopQWVILB-w,bundow boba,4.1,979 broadway,Millbrae,37.604703,-122.397259
150,1xYxb8SRBEx_V1mjNHht_g,boba corner,4.7,761 2nd st,Brentwood,37.93406692756091,-121.69476461757348
151,_Tx7Wd5lNgIqU4FqXC13XQ,i-tea,4.0,20666 redwood rd,Castro Valley,37.695911,-122.072915
152,9fHEHCT9PCLQoJ824tNJyQ,t4 antioch,3.9,4532 lone tree way,Antioch,37.965628832079,-121.780964028313
153,MaCs5PceHHsR_khVc_eWTg,okashi fusion,4.3,1679 e monte vista ave,Vacaville,38.3700674,-121.96065810924708
154,ubgMoT9fLmwvPtrO2lwC5Q,mr. sun - pleasanton,4.5,440 main st,Pleasanton,37.660153328662055,-121.8758518
155,omGi-gmogVl7jDU1Pzh4yQ,skyview noodle & tea,4.3,200 e 3rd st,Pittsburg,38.0329401103613,-121.882134117186
156,b70F6EQdv-PrtNJ9HO57Hw,mandro teahouse,3.9,1260 lake blvd,Davis,38.5541889,-121.7869827
157,tiqMX9MDGq0W0m1Rpu8v9Q,imperial fruit,5.0,1142 grant ave,San Francisco,37.7975669985766,-122.40683257055294
158,dNbc4h01iUXW8zsUOucKng,teaspoon pinole,4.4,1360 fitzgerald dr,Pinole,37.986259499453006,-122.31071487519344
159,TkjZjvGrbClafjZ785y16w,tp tea - pleasanton,4.3,1987 santa rita rd,Pleasanton,37.678762,-121.875509
160,O9ut-lJGzw0QamVJ8HKH4w,union square - little sweet,3.8,75 o'farrell st,San Francisco,37.7866283657442,-122.406057321507
161,kAUq8PSg7UEDOpUBbVwi0g,teaspoon,3.8,2375 railroad ave,Livermore,37.6837,-121.76782
162,MgFr3WwEu_fiGEDK1X2G4Q,feng cha teahouse  奉茶,3.9,2528a durant ave,Berkeley,37.867704,-122.257685
163,2BHxTEGEPcOfJsoohs-VxQ,yummy boba & more,4.5,1960 concord ave,Concord,37.977103328131086,-122.03683147672044
164,xJnrCzQEOCdI0fQZi7vAwA,rare tea,3.9,1670 e monte vista ave,Vacaville,38.3686556,-121.96002
165,i-_9tPB0MZ9EkLjlEGTeWQ,boba & beyond,4.7,3550 san pablo dam rd,El Sobrante,37.96376888477262,-122.3197114486539
166,S6ZW7VR3-sy-Zc5zLaEx9w,pink cloud tea & more,4.5,2107 addison st,Berkeley,37.87139,-122.267339
