,id,name,rating,price,review_count,address,city,lat,long
570,XwlI7s2obIvbunZXZi3VNw,R&B Tea - San Ramon,4.0,$$,128,"2475 San Ramon Valley Blvd, Ste 4, San Ramon, CA 94583",San Ramon,37.7738,-121.977612
571,YeW1zZOeWBRJ48c7-X6hwA,Pho Hoa & Jazen Tea,4.0,$$,327,"3205 Crow Canyon Pl, San Ramon, CA 94583",San Ramon,37.776706,-121.971335
572,FnS0Rxyb59oIlKJ0uMU_tQ,Boba Nation,4.4,$$,47,"1 Southland Dr, Shop  114, Hayward, CA 94545",Hayward,37.6510232929182,-122.10182
573,9t-PSdnwprzQ4bRpDoRdWw,Sharetea,3.9,$$,109,"24351 Southland Dr, Hayward, CA 94545",Hayward,37.65265,-122.1042
574,wZL_sySI0rVgNelnsGEzDQ,Quickly,3.0,$,94,"17940 Hesperian Blvd, San Lorenzo, CA 94580",San Lorenzo,37.6729889960689,-122.122139773525
575,VQerTa0_VsGWm6tnxK-dmQ,Quickly,3.1,$,78,"15000 Farnsworth St, San Leandro, CA 94579",San Leandro,37.69112,-122.151278
576,DW6Lh8ae7qQu24An9pdi9Q,Xenia's Gelato,3.9,$,14,"27552 Tampa Ave, Hayward, CA 94544",Hayward,37.6319072655317,-122.075347587842
577,DUaNDjOYZkNy42mwkWuQyg,D T Dim Sum & Tea,3.6,$$,527,"1970 Lewelling Blvd, San Leandro, CA 94579",San Leandro,37.679444,-122.154684
578,R0qfTWoelnhixKB7cmip3Q,Surf City Squeeze,3.2,$$,21,"1 Southland Mall Dr, Ste 072, Hayward, CA 94545",Hayward,37.6515,-122.101575
579,KW4Ao9eN01JHTOGQB_i4SA,Fanale Drinks,1.0,N/A,2,"790 Sandoval Way, Hayward, CA 94544",Hayward,37.62111,-122.05477
580,t6o_goUBbsvpETBfh1uteQ,United Paleteria y Neveria,3.6,$,95,"137 Pelton Center Way, San Leandro, CA 94577",San Leandro,37.72278,-122.15377
